,id,name,num_territories,region,region_id,Country Name,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016
50,64,Iraq,2,Middle East & North Africa,3,Iraq,463665,29.10024907,36.01133041,36.94890351,40.97077196,39.25699201,44.44872923,39.67638889,41.33845029,34.95875651,32.55884055
51,66,Jordan,0,Middle East & North Africa,3,Jordan,975285,74.26475351,71.95399526,69.73824821,60.4898504,55.94053621,46.24668328,42.35182427,43.33313351,37.58818258,35.12133477
52,72,Lebanon,0,Middle East & North Africa,3,Lebanon,1250000,77.05946681,71.16188956,69.35573999,64.96665147,66.47295876,56.48890897,56.86896609,57.49871515,56.96356427,54.49229272
53,88,Morocco,0,Middle East & North Africa,3,Morocco,-307108,50.1953694,47.24291504,46.84441634,42.08494405,45.07662892,34.9295479,32.77764352,34.33261593,34.29424886,34.70431173
54,98,Oman,0,Middle East & North Africa,3,Oman,817500,44.85174844,52.992753,46.71714655,52.50701715,,71.48996531,75.22961683,69.536804,56.08649086,
55,132,Tunisia,0,Middle East & North Africa,3,Tunisia,-65963,58.60875992,57.05579433,56.55192041,51.61099036,51.02282048,49.39598746,47.74014983,45.56956543,40.65819316,40.17305694
56,144,West Bank and the Gaza Strip,0,Middle East & North Africa,3,West Bank and Gaza,-43751,55.85314822,54.53671048,56.69335305,59.47762961,56.74884863,16.58864833,16.60628407,17.08373966,18.44945948,18.15616813
57,146,Yemen,0,Middle East & North Africa,3,"Yemen, Rep.",-75010,36.49792022,30.15209418,28.35289682,22.48544822,25.09197883,24.86371697,22.3592441,21.48374766,10.24107485,3.286459227
58,4,Angola,0,Sub-Saharan Africa,4,Angola,87322,39.73943252,39.38000879,42.21153253,36.14288111,32.67696088,62.31339841,55.68894271,47.99869143,33.92706433,33.01989232
59,12,Benin,0,Sub-Saharan Africa,4,Benin,-42268,35.07604334,41.30819223,44.45463069,39.79648021,39.65566088,24.59335432,28.15332243,32.07625794,28.221547,30.547557
60,16,Botswana,0,Sub-Saharan Africa,4,Botswana,15000,60.29247127,61.4365896,53.94247275,53.55960644,,48.35909294,61.51249347,60.83018989,52.23493886,
61,20,Burkina Faso,0,Sub-Saharan Africa,4,Burkina Faso,-125000,37.16053656,41.14514618,39.66498065,39.03816712,37.3993171,25.51852207,26.19375313,25.65086816,24.56253505,25.17078003
62,22,Burundi,0,Sub-Saharan Africa,4,Burundi,-70000,37.46885112,34.24535243,33.53881977,29.72948307,31.91535834,8.950128922,7.395821132,7.76818252,6.053185785,6.240950905
63,23,Cabo Verde,0,Sub-Saharan Africa,4,Cabo Verde,-11052,59.84533756,54.84664594,60.68543339,,,40.43180428,40.49244284,40.36112285,,
64,25,Cameroon,0,Sub-Saharan Africa,4,Cameroon,-36000,26.60762331,28.90939125,31.15105918,30.10245975,28.51955775,18.7951536,20.65738013,21.7353589,19.52923256,22.85185406
65,26,Central African Republic,0,Sub-Saharan Africa,4,Central African Republic,-396129,21.63772268,25.00493642,37.56252584,34.57870044,30.01406693,11.57194295,14.45148971,13.03009243,12.61192312,12.72428413
66,27,Chad,0,Sub-Saharan Africa,4,Chad,100000,42.10756547,39.08332409,42.46516028,37.31852316,38.03356009,38.46805422,33.56559167,34.16136289,29.83252711,29.97366658
67,33,Comoros,0,Sub-Saharan Africa,4,Comoros,-10000,56.31738487,59.85169089,60.29883327,45.5,47.4,15.68610375,16.32060004,16.87471351,17.1,17.3
68,34,"Congo, Democratic Republic of the",0,Sub-Saharan Africa,4,"Congo, Dem. Rep.",15060,39.4699224,41.79748636,42.32527976,38.80501899,29.26638321,33.99501346,33.86901982,33.19425887,31.32459941,25.32328498
69,35,"Congo, Republic of the",0,Sub-Saharan Africa,4,"Congo, Rep.",-60001,60.32926673,66.07197804,70.25263751,96.37030326,79.43469606,83.77514629,76.53245476,72.98675912,69.27556056,57.08428489
70,39,Djibouti,0,Sub-Saharan Africa,4,Djibouti,6002,,,,,,,,,,
71,45,Eritrea,0,Sub-Saharan Africa,4,Eritrea,-159999,,,,,,,,,,
72,46,Ethiopia,0,Sub-Saharan Africa,4,Ethiopia,-60001,31.63060598,28.98771352,29.09946424,30.29281055,27.7824418,13.7672982,12.48407356,11.64161991,9.363313597,8.00801425
73,49,Gabon,0,Sub-Saharan Africa,4,Gabon,85442,31.3924675,33.27768499,28.99949123,28.26097527,27.08381704,60.95034144,57.35750021,44.52097623,46.13105025,41.070025
74,50,Gambia,0,Sub-Saharan Africa,4,"Gambia, The",-13476,44.15393512,40.87361718,38.31482143,32.50532637,41.90350157,30.76598373,29.19588043,26.10351925,21.68269609,23.99868832
75,52,Ghana,0,Sub-Saharan Africa,4,Ghana,-49999,52.80881695,47.46325412,48.9278531,55.39787674,47.8627258,40.35921817,34.1890785,39.52355867,43.85040613,40.73973919
76,55,Guinea-Bissau,0,Sub-Saharan Africa,4,Guinea-Bissau,-10003,25.54087811,26.84944643,31.20279609,33.58249497,35.84351602,14.33548355,19.0986227,18.81627716,27.93465166,29.57666966
77,56,Guinea,0,Sub-Saharan Africa,4,Guinea,-250000,61.97138749,54.60720572,52.98718738,51.293198,45.50269992,29.71700213,28.45685617,27.63430545,26.80918101,24.11283449
78,68,Kenya,0,Sub-Saharan Africa,4,Kenya,-50000,35.53772613,33.20723949,33.00277099,27.72271424,23.35950896,22.22735881,19.92517401,18.29777821,16.65483083,14.56972255
79,73,Lesotho,0,Sub-Saharan Africa,4,Lesotho,-25000,100.3211898,88.85299517,86.88869697,87.73761629,,38.67498064,35.73342319,34.99013529,39.76234804,
80,74,Liberia,0,Sub-Saharan Africa,4,Liberia,-20000,89.25381734,96.41377858,108.5363388,106.5486726,100.276059,32.91270527,34.57971744,28.43201689,19.46902655,21.4183722
81,76,Madagascar,0,Sub-Saharan Africa,4,Madagascar,-7500,43.96676792,43.33680456,42.76165683,44.52066984,35.6,29.00995501,29.24286682,31.90790981,34.42444524,32.5
82,77,Malawi,0,Sub-Saharan Africa,4,Malawi,-30000,41.67816409,42.60935206,39.6250575,35.83160547,45.23367859,26.20340097,35.65977986,33.70157184,29.32780879,33.29991979
83,80,Mali,0,Sub-Saharan Africa,4,Mali,-302449,31.26425454,33.7274121,32.01928654,29.69572363,27.04548393,27.85634001,26.20015104,23.1152469,22.41046159,20.42291207
84,81,Mauritania,0,Sub-Saharan Africa,4,Mauritania,40000,79.46993449,72.04079274,65.77791495,72.26030374,65.48508388,53.02395123,49.8263938,39.14782634,37.10459444,37.02638509
85,82,Mauritius,0,Sub-Saharan Africa,4,Mauritius,-12079,65.70795451,61.55232185,62.22995343,58.90717028,,53.79216527,48.41741475,51.0628421,49.03863998,
86,89,Mozambique,0,Sub-Saharan Africa,4,Mozambique,-25000,78.45366649,84.00663323,84.76327324,71.98985882,77.15247081,32.37613301,30.36930905,33.35927604,32.21627768,34.75757269
87,90,Namibia,0,Sub-Saharan Africa,4,Namibia,-1371,60.15507076,58.49584088,62.68412917,67.92259401,,43.41161376,42.55965816,41.82001293,44.11770296,
88,93,Niger,0,Sub-Saharan Africa,4,Niger,-28497,39.361615,39.08074255,39.20189982,39.4395335,,21.85891404,22.63550033,20.98005056,17.17690863,
89,94,Nigeria,0,Sub-Saharan Africa,4,Nigeria,-300000,12.9413891,12.99895337,12.45006761,10.49241603,,31.43874755,18.04990659,18.43512599,10.63193501,
90,107,Rwanda,0,Sub-Saharan Africa,4,Rwanda,-79101,31.8647085,31.93345506,32.91255031,35.07387508,33.15200967,12.81708945,14.07993508,14.72740578,14.27132304,15.04986401
91,113,Senegal,0,Sub-Saharan Africa,4,Senegal,-99996,48.97930499,49.29641565,47.28428323,46.10926033,45.18084516,27.95058619,28.42238183,28.1122585,29.18622591,28.74219092
92,115,Seychelles,0,Sub-Saharan Africa,4,Seychelles,-2201,109.4287391,92.84503497,98.19419456,,,92.7831279,85.47360094,83.09415155,,
93,116,Sierra Leone,0,Sub-Saharan Africa,4,Sierra Leone,-21000,60.3687918,58.82604394,52.42575588,47.44006536,53.91385555,32.90532706,28.62675705,30.76003938,19.36254375,23.54401041
94,118,Somalia,3,Sub-Saharan Africa,4,Somalia,-226869,,62.07025411,61.66105897,61.65400844,63.03683449,,14.55530643,14.50327608,14.4978903,14.86247386
95,119,South Africa,0,Sub-Saharan Africa,4,South Africa,806500,31.17582827,33.27219976,32.94571282,31.45700769,30.17608073,29.72388717,30.88010871,31.20551749,30.37057267,30.32208067
96,120,South Sudan,0,Sub-Saharan Africa,4,South Sudan,425000,45.25957892,38.13344503,34.01263308,57.57868087,,10.12161632,16.19533598,20.15123091,9.776991662,
97,121,Sudan,0,Sub-Saharan Africa,4,Sudan,-589384,15.5018091,14.88795627,11.30969974,10.91857802,12.52707727,9.219191684,8.840551768,8.149134518,8.182226094,9.828851762
98,124,Swaziland,0,Sub-Saharan Africa,4,Swaziland,-6000,55.11668361,52.65357473,53.80252939,48.68666702,,45.10456305,46.50523459,49.02652237,48.26349616,
99,126,Tanzania,2,Sub-Saharan Africa,4,Tanzania,-199999,33.11176971,31.06942949,29.78833715,26.34399876,19.21307314,21.28530986,17.65122642,19.41418065,21.62126362,17.56395279
100,129,Togo,0,Sub-Saharan Africa,4,Togo,-9994,60.50568056,72.32476879,62.91993539,67.60450056,62.63999273,46.67172911,52.70867238,44.49845301,42.21731387,42.71121441
101,136,Uganda,0,Sub-Saharan Africa,4,Uganda,-150000,32.58100848,30.25474978,27.50865658,28.42724108,27.71282084,19.88665327,20.06999286,17.7586347,17.50239509,17.6307787
102,147,Zambia,0,Sub-Saharan Africa,4,Zambia,-34490,39.0173188,44.11443827,41.24113153,47.175854,,40.08242334,40.48285045,38.82242937,37.13970524,
103,148,Zimbabwe,0,Sub-Saharan Africa,4,Zimbabwe,-249999,47.73121093,44.72601553,39.82711735,37.71896275,38.13803639,28.4810418,25.36718605,23.47585759,22.48706075,22.33358802
104,6,Argentina,0,Latin America & the Caribbean,5,Argentina,30000,14.28868291,14.71675561,14.00131506,11.84814036,13.4030474,16.23785946,14.61717339,14.40981899,11.00846791,12.71100086
105,11,Belize,0,Latin America & the Caribbean,5,Belize,7594,62.93205073,66.7552268,65.96498402,67.69643485,68.22931502,62.46272485,61.25201814,60.47120654,58.53867321,56.87659028
106,14,Bolivia,0,Latin America & the Caribbean,5,Bolivia,-61794,37.78256468,37.13842804,41.9713817,37.06454906,32.04021377,47.16619658,44.09247927,43.29308812,30.86829588,24.58559925
107,17,Brazil,0,Latin America & the Caribbean,5,Brazil,15924,13.06225025,13.93167816,13.67346536,14.06669231,12.12546245,11.70305477,11.63020088,11.01196203,12.88922123,12.48825774
108,28,Chile,0,Latin America & the Caribbean,5,Chile,80820,34.14998768,32.77400322,32.08169318,29.78845503,27.62337426,34.12185872,32.19947338,33.06085795,29.67817285,28.46382449
109,32,Colombia,0,Latin America & the Caribbean,5,Colombia,-144998,20.0373359,20.12605261,21.38323658,23.37285065,20.64369548,18.25876189,17.571925,15.93654442,15.24861381,14.04004984
110,37,Costa Rica,0,Latin America & the Caribbean,5,Costa Rica,19658,35.97496794,34.28535714,34.73681171,31.87249017,31.91375768,32.16956883,31.33301741,32.27699539,30.03588039,31.61045464
111,40,Dominica,0,Latin America & the Caribbean,5,Dominica,,51.42507869,47.92293135,52.65157521,51.27824651,54.9300903,32.59105888,38.05055524,41.11268457,40.94181904,41.53777728
