,id,name_DOL,num_territories,region,region_id,name_WB,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,Country Name,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016,name_HTI
44,133,Turkey,0,Europe & Eurasia,2,Turkey,1627172,0.28577944,0.280780694,0.276497694,0.259577521,0.250227414,Turkey,0.236673659,0.222722551,0.237643348,0.233311266,0.220585132,Turkey
45,137,Ukraine,0,Europe & Eurasia,2,Ukraine,-200000,0.563722841,0.521929459,0.520988207,0.544839843,0.555193435,Ukraine,0.354154609,0.429567198,0.485929618,0.525976795,0.492880947,Ukraine
46,3,Algeria,0,Middle East & North Africa,3,Algeria,-143268,0.28516014,0.303967957,0.319008347,0.367892885,0.344120486,Algeria,0.368925951,0.332053861,0.304629968,0.23564476,0.237125217,Algeria
47,9,Bahrain,0,Middle East & North Africa,3,Bahrain,42000,0.837417205,0.861203405,0.795138994,0.716548808,0,Bahrain,1.021472547,1.036629237,0.960507512,0.845828363,0,Bahrain
48,43,Egypt,0,Middle East & North Africa,3,"Egypt, Arab Rep.",-275026,0.243148027,0.233551924,0.226760563,0.216620975,0.196027028,"Egypt, Arab Rep.",0.163969666,0.170178456,0.142441315,0.131838455,0.103533582,Egypt
49,63,Iran,0,Middle East & North Africa,3,"Iran, Islamic Rep.",-400001,0.207319689,0.197884541,0.188942098,0.192739164,0,"Iran, Islamic Rep.",0.223608964,0.274738739,0.241687939,0.197433856,0,Iran
50,64,Iraq,2,Middle East & North Africa,3,Iraq,463665,0.291002491,0.360113304,0.369489035,0.40970772,0.39256992,Iraq,0.444487292,0.396763889,0.413384503,0.349587565,0.325588406,Iraq
51,66,Jordan,0,Middle East & North Africa,3,Jordan,975285,0.742647535,0.719539953,0.697382482,0.604898504,0.559405362,Jordan,0.462466833,0.423518243,0.433331335,0.375881826,0.351213348,Jordan
52,72,Lebanon,0,Middle East & North Africa,3,Lebanon,1250000,0.770594668,0.711618896,0.6935574,0.649666515,0.664729588,Lebanon,0.56488909,0.568689661,0.574987152,0.569635643,0.544922927,Lebanon
53,88,Morocco,0,Middle East & North Africa,3,Morocco,-307108,0.501953694,0.47242915,0.468444163,0.420849441,0.450766289,Morocco,0.349295479,0.327776435,0.343326159,0.342942489,0.347043117,Morocco
54,98,Oman,0,Middle East & North Africa,3,Oman,817500,0.448517484,0.52992753,0.467171466,0.525070172,0,Oman,0.714899653,0.752296168,0.69536804,0.560864909,0,Oman
55,132,Tunisia,0,Middle East & North Africa,3,Tunisia,-65963,0.586087599,0.570557943,0.565519204,0.516109904,0.510228205,Tunisia,0.493959875,0.477401498,0.455695654,0.406581932,0.401730569,Tunisia
56,144,West Bank and the Gaza Strip,0,Middle East & North Africa,3,West Bank and Gaza,-43751,0.558531482,0.545367105,0.56693353,0.594776296,0.567488486,West Bank and Gaza,0.165886483,0.166062841,0.170837397,0.184494595,0.181561681,West Bank and the Gaza Strip
57,146,Yemen,0,Middle East & North Africa,3,"Yemen, Rep.",-75010,0.364979202,0.301520942,0.283528968,0.224854482,0.250919788,"Yemen, Rep.",0.24863717,0.223592441,0.214837477,0.102410748,0.032864592,Yemen
58,4,Angola,0,Sub-Saharan Africa,4,Angola,87322,0.397394325,0.393800088,0.422115325,0.361428811,0.326769609,Angola,0.623133984,0.556889427,0.479986914,0.339270643,0.330198923,Angola
59,12,Benin,0,Sub-Saharan Africa,4,Benin,-42268,0.350760433,0.413081922,0.444546307,0.397964802,0.396556609,Benin,0.245933543,0.281533224,0.320762579,0.28221547,0.30547557,Benin
60,16,Botswana,0,Sub-Saharan Africa,4,Botswana,15000,0.602924713,0.614365896,0.539424727,0.535596064,0,Botswana,0.483590929,0.615124935,0.608301899,0.522349389,0,Botswana
61,20,Burkina Faso,0,Sub-Saharan Africa,4,Burkina Faso,-125000,0.371605366,0.411451462,0.396649807,0.390381671,0.373993171,Burkina Faso,0.255185221,0.261937531,0.256508682,0.245625351,0.2517078,Burkina Faso
62,22,Burundi,0,Sub-Saharan Africa,4,Burundi,-70000,0.374688511,0.342453524,0.335388198,0.297294831,0.319153583,Burundi,0.089501289,0.073958211,0.077681825,0.060531858,0.062409509,Burundi
63,23,Cabo Verde,0,Sub-Saharan Africa,4,Cabo Verde,-11052,0.598453376,0.548466459,0.606854334,0,0,Cabo Verde,0.404318043,0.404924428,0.403611229,0,0,Cabo Verde
64,25,Cameroon,0,Sub-Saharan Africa,4,Cameroon,-36000,0.266076233,0.289093913,0.311510592,0.301024597,0.285195577,Cameroon,0.187951536,0.206573801,0.217353589,0.195292326,0.228518541,Cameroon
65,26,Central African Republic,0,Sub-Saharan Africa,4,Central African Republic,-396129,0.216377227,0.250049364,0.375625258,0.345787004,0.300140669,Central African Republic,0.115719429,0.144514897,0.130300924,0.126119231,0.127242841,Central African Republic
66,27,Chad,0,Sub-Saharan Africa,4,Chad,100000,0.421075655,0.390833241,0.424651603,0.373185232,0.380335601,Chad,0.384680542,0.335655917,0.341613629,0.298325271,0.299736666,Chad
67,33,Comoros,0,Sub-Saharan Africa,4,Comoros,-10000,0.563173849,0.598516909,0.602988333,0.455,0.474,Comoros,0.156861038,0.163206,0.168747135,0.171,0.173,Comoros
68,34,"Congo, Democratic Republic of the",0,Sub-Saharan Africa,4,"Congo, Dem. Rep.",15060,0.394699224,0.417974864,0.423252798,0.38805019,0.292663832,"Congo, Dem. Rep.",0.339950135,0.338690198,0.331942589,0.313245994,0.25323285,"Congo, Democratic Republic"
69,35,"Congo, Republic of the",0,Sub-Saharan Africa,4,"Congo, Rep.",-60001,0.603292667,0.66071978,0.702526375,0.963703033,0.794346961,"Congo, Rep.",0.837751463,0.765324548,0.729867591,0.692755606,0.570842849,"Congo, Republic"
70,39,Djibouti,0,Sub-Saharan Africa,4,Djibouti,6002,0,0,0,0,0,Djibouti,0,0,0,0,0,Djibouti
71,45,Eritrea,0,Sub-Saharan Africa,4,Eritrea,-159999,0,0,0,0,0,Eritrea,0,0,0,0,0,Eritrea
72,46,Ethiopia,0,Sub-Saharan Africa,4,Ethiopia,-60001,0.31630606,0.289877135,0.290994642,0.302928105,0.277824418,Ethiopia,0.137672982,0.124840736,0.116416199,0.093633136,0.080080142,Ethiopia
73,49,Gabon,0,Sub-Saharan Africa,4,Gabon,85442,0.313924675,0.33277685,0.289994912,0.282609753,0.27083817,Gabon,0.609503414,0.573575002,0.445209762,0.461310502,0.41070025,Gabon
74,50,Gambia,0,Sub-Saharan Africa,4,"Gambia, The",-13476,0.441539351,0.408736172,0.383148214,0.325053264,0.419035016,"Gambia, The",0.307659837,0.291958804,0.261035192,0.216826961,0.239986883,"Gambia, The"
75,52,Ghana,0,Sub-Saharan Africa,4,Ghana,-49999,0.52808817,0.474632541,0.489278531,0.553978767,0.478627258,Ghana,0.403592182,0.341890785,0.395235587,0.438504061,0.407397392,Ghana
76,55,Guinea-Bissau,0,Sub-Saharan Africa,4,Guinea-Bissau,-10003,0.255408781,0.268494464,0.312027961,0.33582495,0.35843516,Guinea-Bissau,0.143354835,0.190986227,0.188162772,0.279346517,0.295766697,Guinea-Bissau
77,56,Guinea,0,Sub-Saharan Africa,4,Guinea,-250000,0.619713875,0.546072057,0.529871874,0.51293198,0.455026999,Guinea,0.297170021,0.284568562,0.276343055,0.26809181,0.241128345,Guinea
78,68,Kenya,0,Sub-Saharan Africa,4,Kenya,-50000,0.355377261,0.332072395,0.33002771,0.277227142,0.23359509,Kenya,0.222273588,0.19925174,0.182977782,0.166548308,0.145697226,Kenya
79,73,Lesotho,0,Sub-Saharan Africa,4,Lesotho,-25000,1.003211898,0.888529952,0.86888697,0.877376163,0,Lesotho,0.386749806,0.357334232,0.349901353,0.39762348,0,Lesotho
80,74,Liberia,0,Sub-Saharan Africa,4,Liberia,-20000,0.892538173,0.964137786,1.085363388,1.065486726,1.00276059,Liberia,0.329127053,0.345797174,0.284320169,0.194690265,0.214183722,Liberia
81,76,Madagascar,0,Sub-Saharan Africa,4,Madagascar,-7500,0.439667679,0.433368046,0.427616568,0.445206698,0.356,Madagascar,0.29009955,0.292428668,0.319079098,0.344244452,0.325,Madagascar
82,77,Malawi,0,Sub-Saharan Africa,4,Malawi,-30000,0.416781641,0.426093521,0.396250575,0.358316055,0.452336786,Malawi,0.26203401,0.356597799,0.337015718,0.293278088,0.332999198,Malawi
83,80,Mali,0,Sub-Saharan Africa,4,Mali,-302449,0.312642545,0.337274121,0.320192865,0.296957236,0.270454839,Mali,0.2785634,0.26200151,0.231152469,0.224104616,0.204229121,Mali
84,81,Mauritania,0,Sub-Saharan Africa,4,Mauritania,40000,0.794699345,0.720407927,0.65777915,0.722603037,0.654850839,Mauritania,0.530239512,0.498263938,0.391478263,0.371045944,0.370263851,Mauritania
85,82,Mauritius,0,Sub-Saharan Africa,4,Mauritius,-12079,0.657079545,0.615523219,0.622299534,0.589071703,0,Mauritius,0.537921653,0.484174147,0.510628421,0.4903864,0,Mauritius
86,89,Mozambique,0,Sub-Saharan Africa,4,Mozambique,-25000,0.784536665,0.840066332,0.847632732,0.719898588,0.771524708,Mozambique,0.32376133,0.303693091,0.33359276,0.322162777,0.347575727,Mozambique
87,90,Namibia,0,Sub-Saharan Africa,4,Namibia,-1371,0.601550708,0.584958409,0.626841292,0.67922594,0,Namibia,0.434116138,0.425596582,0.418200129,0.44117703,0,Namibia
